NestID,Length,TotalLength,ItemNumber,RemainingLength
9861,2088,8000,03406,0
9861,824,8000,02058,0
9862,3476,8000,04510,0
9862,1904,8000,04271,0
9862,1138,8000,02037,0
9862,750,8000,03690,0
9862,732,8000,04487,0
9863,6768,7994,02066,6
9863,756,7994,02071,6
9863,470,7994,02093,6
9864,4225,7991,04278,9
9864,1904,7991,04269,9
9864,1862,7991,02064,9
9865,7482,7952,04276,48
9865,470,7952,02092,48
9866,6454,7916,02057,84
9866,1462,7916,04512,84
9867,2408,7904,02041,96
9867,2082,7904,02039,96
9867,1138,7904,02028,96
9867,1138,7904,02031,96
9867,1138,7904,02034,96
9868,3325,7788,02043,212
9868,3325,7788,02047,212
9868,1138,7788,02025,212
9869,3325,7788,02032,212
9869,3325,7788,02038,212
9869,1138,7788,02022,212
9870,3325,7788,02026,212
9870,3325,7788,02029,212
9870,1138,7788,02019,212
9871,3325,6650,02020,1350
9871,3325,6650,02023,1350
9872,6340,6340,02016,1660
9873,2220,4919,02075,256
9873,1480,4919,02015,256
9873,1219,4919,02014,256
9874,2220,2220,02074,1030
9875,1118,2215,02062,10785
9875,1097,2215,02060,10785
9876,5206,5206,02072,2105
9877,7974,11820,02067,1180
9877,3846,11820,02059,1180
9182,850,2403,02380,0
9182,587,2403,02375,0
9182,556,2403,02339,0
9182,410,2403,02389,0
9183,1379,5988,02342,12
9183,1379,5988,02343,12
9183,1340,5988,02402,12
9183,493,5988,02519,12
9183,493,5988,02520,12
9183,493,5988,02521,12
9183,411,5988,02395,12
9184,5950,5950,02374,50
9185,1577,4042,02403,1958
9185,493,4042,02514,1958
9185,493,4042,02515,1958
9185,493,4042,02516,1958
9185,493,4042,02517,1958
9185,493,4042,02518,1958
9186,276,2196,02382,2429
9186,276,2196,02367,2429
9186,276,2196,02426,2429
9186,276,2196,02425,2429
9186,276,2196,02368,2429
9186,276,2196,02427,2429
9186,270,2196,02366,2429
9186,270,2196,02369,2429
9189,842,6000,02335,0
9189,817,6000,02338,0
9192,1671,6000,02341,0
9193,1671,6000,02340,0
9198,5950,5950,02337,50
9200,4600,5528,02336,472
9204,447,2106,02417,596
9204,447,2106,02418,596
9204,447,2106,02419,596
9204,255,2106,02414,596
9204,255,2106,02415,596
9204,255,2106,02416,596
9205,205,487,00599,4123
9205,204,487,00264,4123
9205,78,487,00181,4123
9187,625,2494,02301,0
9187,625,2494,02306,0
9187,622,2494,02302,0
9187,622,2494,02307,0
9188,617,6000,02327,0
9188,617,6000,02332,0
9188,614,6000,02317,0
9188,614,6000,02322,0
9188,614,6000,02326,0
9188,614,6000,02331,0
9188,584,6000,02276,0
9188,582,6000,02277,0
9188,572,6000,02412,0
9188,572,6000,02312,0
9189,957,6000,02333,0
9189,622,6000,02292,0
9189,622,6000,02297,0
9189,574,6000,02413,0
9189,574,6000,02311,0
9190,853,6000,02325,0
9190,853,6000,02330,0
9190,814,6000,02305,0
9190,622,6000,02267,0
9190,622,6000,02262,0
9190,622,6000,02258,0
9190,622,6000,02287,0
9191,814,6000,02295,0
9191,814,6000,02300,0
9191,625,6000,02266,0
9191,625,6000,02261,0
9191,625,6000,02257,0
9191,625,6000,02286,0
9191,625,6000,02291,0
9191,625,6000,02296,0
9191,622,6000,02272,0
9192,928,6000,02298,0
9192,928,6000,02303,0
9192,928,6000,02308,0
9192,928,6000,02313,0
9192,617,6000,02321,0
9193,928,6000,02263,0
9193,928,6000,02259,0
9193,928,6000,02288,0
9193,928,6000,02293,0
9193,617,6000,02316,0
9194,957,6000,02323,0
9194,957,6000,02328,0
9194,814,6000,02256,0
9194,814,6000,02285,0
9194,814,6000,02290,0
9195,853,5995,02320,5
9195,814,5995,02260,5
9195,625,5995,02271,5
9196,928,5992,02273,8
9196,928,5992,02268,8
9196,853,5992,02315,8
9196,814,5992,02270,8
9196,814,5992,02265,8
9199,957,5557,02318,443
9200,928,5528,02278,472
9201,928,1742,02411,4258
9201,814,1742,02275,4258
9202,815,815,02310,5185
9203,814,814,02410,4695
9189,992,6000,01416,0
9190,992,6000,01410,0
9194,822,6000,01458,0
9194,822,6000,01447,0
9195,1655,5995,01445,5
9195,1024,5995,02370,5
9195,1024,5995,01247,5
9196,1655,5992,01252,8
9197,5950,5950,02372,50
9199,4600,5557,02371,443
10286,1503,1503,03771,1055
10287,1501,1501,03770,4499
10292,1351,4856,03570,0
10292,1332,4856,03439,0
10292,553,4856,02873,0
10292,348,4856,03611,0
10292,348,4856,03619,0
10292,348,4856,03620,0
10292,298,4856,03612,0
10292,278,4856,01254,0
10293,1396,6000,02948,0
10293,1265,6000,03622,0
10293,1087,6000,02932,0
10293,1053,6000,01246,0
10293,708,6000,02945,0
10293,491,6000,03436,0
10294,2194,6000,01259,0
10294,884,6000,03534,0
10294,831,6000,02949,0
10294,614,6000,02942,0
10294,493,6000,03914,0
10294,492,6000,03834,0
10294,492,6000,03844,0
10295,1694,5996,01256,4
10295,1350,5996,03614,4
10295,859,5996,03644,4
10295,614,5996,02941,4
10295,493,5996,03343,4
10295,493,5996,03344,4
10295,493,5996,03346,4
10296,2444,5280,02938,720
10296,2444,5280,02943,720
